Муниципалитет,Английский язык_МЭ_2025,Астрономия_МЭ_2025,Биология_МЭ_2025,География_МЭ_2025,Информатика_МЭ_2025,Искусство_МЭ_2025,Испанский язык_МЭ_2025,История_МЭ_2025,Итальянский язык_МЭ_2025,Китайский язык_МЭ_2025,Литература_МЭ_2025,Математика_МЭ_2025,Немецкий язык_МЭ_2025,Обществознание_МЭ_2025,Основы безопасности жизнедеятельности_МЭ_2025,Право_МЭ_2025,Русский язык_МЭ_2025,Технология_МЭ_2025,Физика_МЭ_2025,Физическая культура_МЭ_2025,Французский язык_МЭ_2025,Химия_МЭ_2025,Экология_МЭ_2025,Экономика_МЭ_2025
Батецкий  район,0.0,0.0,13.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,16.0,2.0,5.0,7.0,0.0,0.0,12.0,0.0,5.0,9.0,0.0,5.0,1.0,0.0
Боровичский  район,42.0,10.0,70.0,66.0,12.0,23.0,0.0,53.0,0.0,0.0,68.0,43.0,0.0,73.0,29.0,16.0,73.0,17.0,34.0,70.0,0.0,43.0,26.0,6.0
Валдайский  район,22.0,10.0,35.0,35.0,0.0,0.0,0.0,21.0,0.0,0.0,12.0,15.0,0.0,69.0,25.0,12.0,72.0,20.0,28.0,53.0,0.0,16.0,10.0,0.0
Волотовский  округ,7.0,0.0,15.0,8.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,8.0,0.0,13.0,0.0,10.0,17.0,0.0,3.0,6.0,0.0,5.0,0.0,0.0
Демянский  округ,5.0,0.0,8.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,16.0,15.0,1.0,4.0,8.0,0.0,6.0,14.0,6.0,7.0,0.0,4.0,2.0,0.0
Крестецкий  округ,9.0,0.0,15.0,13.0,0.0,0.0,0.0,15.0,0.0,0.0,16.0,6.0,0.0,18.0,15.0,2.0,25.0,3.0,0.0,28.0,0.0,5.0,0.0,0.0
Любытинский  район,10.0,5.0,21.0,20.0,6.0,5.0,0.0,16.0,0.0,0.0,18.0,15.0,1.0,17.0,7.0,8.0,25.0,17.0,11.0,9.0,0.0,16.0,11.0,6.0
Маловишерский район,7.0,0.0,23.0,25.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,9.0,4.0,32.0,27.0,15.0,41.0,5.0,2.0,41.0,0.0,6.0,33.0,0.0
Марёвский  округ,8.0,0.0,5.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,12.0,0.0,3.0,11.0,0.0,0.0,17.0,5.0,1.0,6.0,0.0,2.0,0.0,0.0
Мошенской  округ,10.0,0.0,7.0,9.0,0.0,0.0,0.0,13.0,0.0,0.0,4.0,5.0,0.0,19.0,13.0,2.0,19.0,0.0,3.0,10.0,0.0,3.0,1.0,3.0
Новгородский  район,18.0,4.0,44.0,26.0,0.0,6.0,0.0,17.0,0.0,0.0,30.0,17.0,0.0,44.0,26.0,13.0,43.0,8.0,14.0,27.0,0.0,16.0,7.0,5.0
Окуловский район,33.0,0.0,44.0,16.0,0.0,0.0,0.0,35.0,0.0,0.0,26.0,7.0,0.0,73.0,23.0,20.0,55.0,18.0,11.0,33.0,0.0,9.0,22.0,5.0
Парфинский район,25.0,2.0,23.0,28.0,0.0,2.0,0.0,24.0,0.0,0.0,15.0,8.0,2.0,22.0,8.0,9.0,30.0,12.0,8.0,30.0,0.0,7.0,10.0,1.0
Пестовский  округ,16.0,7.0,42.0,21.0,2.0,15.0,0.0,20.0,0.0,0.0,49.0,26.0,0.0,36.0,28.0,8.0,36.0,20.0,9.0,36.0,0.0,32.0,26.0,3.0
Поддорский район,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Солецкий  округ,24.0,0.0,31.0,29.0,1.0,0.0,0.0,40.0,0.0,0.0,43.0,9.0,0.0,51.0,19.0,16.0,54.0,16.0,3.0,47.0,0.0,14.0,0.0,0.0
Старорусский район,42.0,28.0,60.0,71.0,17.0,36.0,0.0,60.0,0.0,0.0,72.0,13.0,3.0,71.0,47.0,15.0,105.0,100.0,52.0,68.0,0.0,33.0,31.0,10.0
Хвойнинский  округ,11.0,3.0,21.0,29.0,9.0,13.0,0.0,23.0,0.0,0.0,39.0,20.0,0.0,32.0,26.0,8.0,38.0,0.0,11.0,22.0,0.0,13.0,11.0,4.0
Холмский  район,16.0,8.0,13.0,14.0,3.0,0.0,0.0,13.0,0.0,0.0,12.0,7.0,12.0,11.0,15.0,4.0,12.0,14.0,7.0,15.0,0.0,16.0,0.0,0.0
Чудовский район,31.0,0.0,41.0,33.0,13.0,0.0,0.0,36.0,0.0,0.0,45.0,40.0,14.0,38.0,28.0,4.0,50.0,13.0,32.0,22.0,0.0,24.0,25.0,0.0
Шимский район,14.0,0.0,11.0,15.0,3.0,0.0,0.0,17.0,0.0,0.0,22.0,21.0,9.0,21.0,6.0,6.0,22.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0
г. Великий Новгород,201.0,28.0,230.0,141.0,74.0,52.0,3.0,141.0,3.0,7.0,211.0,206.0,40.0,221.0,123.0,65.0,266.0,59.0,170.0,160.0,17.0,126.0,42.0,55.0
