ID вакансии,Название вакансии,Описание вакансии,Ключевые навыки,Опыт работы,Название специальности,Заработная плата
115643830,Разработчик Oracle/Postgres (Senior),Чем предстоит заниматься:   Миграция с Oracle на PostgresSQL в рамках процесса импортозамещения;   Синтаксис PostgresSQL;   Создание ERD схем БД;   Написание динамических запросов в PostgresSQL.   Что для нас важно:   Понимание принципов работы UNION/ UNION ALL или WITH;   PL\SQL Oracle;   JSON;   XML;   GIT;   CI\CD;   Delphi;   Понимание релизного цикла;   Опыт ревью кода;   Навыки проектирования БД и хранения данных в формате JSON.  ,API;Code review;HTML/CSS;Oracle Database;Pascal/Delphi;PostgreSQL;XML;Проектирование баз данных;Работа с ER-диаграммами;Работа с базами данных;Хранение и обработка данных,3-6,Администратор баз данных,0
115646507,Team Lead Database administrator (DBA),"Требования:  Опыт управления командой DBA от 3 лет. Опыт подготовки презентационных материалов на основе проведенного анализа для принятие решений со стороны руководства заказчика. Опыт общения с бизнес-пользователями\руководством клиентов на любом уровне. Глубокие знания принципов работы реляционных СУБД. Практический опыт администрирования Greenplum\ClickHouse (любой сборки) от 3 лет. Знание SQL на высоком уровне. Опыт проведения анализа системных логов, производительности СУБД, работы ППО, запросов пользователей на предмет ошибок и оптимальности использования ресурсов систем. Опыт администрирования ОС семейства Linux.  Обязанности:  Управление командой DBA (5-10 человек). Развитие и поддержка хранилищ на основе Greenplum\ClickHouse. Разработка и поддержка мониторинга СУБД и серверов. Анализ работы кластеров и профиля нагрузки приложений. Предложения по улучшению ресурсных групп. Выявление и анализ узких мест в производительности работы кластеров. Оптимизация влияющих факторов. Выявление SQL запросов, влияющих на производительность кластера. Решение сложных инцидентов. Общение с бизнес-заказчиками, выявление требований и ожиданий по работе ППО и запросов.  Условия:  оформление по ТК РФ в ИТ-аккредитованную компанию годовой бонус до 25% от годового дохода ДМС Дополнительный оплачиваемый отпуск Работа на проектах с крупнейшими Российскими заказчиками - банки, ритейл, телекомы  Гибридный формат работы      ",ClickHouse;PostgreSQL;SQL;Базовая работа с Linux;Взаимодействие с клиентами и заказчиками;Коммуникативная грамотность;Работа с базами данных;Сбор и анализ требований;Создание презентационных материалов;Умение принимать решения;Управление персоналом,6-,Администратор баз данных,600000
ce084a88-7110-11ef-90c3-e7d0d2cf29b1,Инженер технической поддержки в области связи (телекоммуникаций),"Сопровождать программное обеспечение, собирать статистику, осуществлять техническую поддержку пользователей; Проводить тестирование программного обеспечения; Проводить обучение персонала, консультировать по работе с обслуживаемым программным обеспечением; Взаимодействовать с разработчиками программного обеспечения, командой разработчиков АСУТП; Участвовать в разработке архитектуры и стратегии развёртывания СУБД; Администрировать и управлять БД; Разрабатывать методы резервирования, архивирования и восстановления при сбоях СУБД; Обслуживать СУБД, осуществлять сбор статистики, миграцию данных, переиндексирование таблиц, настройку производительности БД; Осуществлять защиту БД и регулирование доступов к ним, управление пользователями, настройку аудита и регулярную установка обновлений;
ладение основными программными продуктами SQL, C++. Желательно знание JavaScript; Умение работать в среде разработки MSSQL, Visual Studio, Rad Studio; Навык проведение тестирования и отладки; Понимание синтаксиса языков, умение ориентироваться в коде программы; Знание основ системного администрирования;
",,1-3,Администратор баз данных,50000
f6e8ae95-4a1b-11ed-9706-35178352af9b,Программист,"Разработка, тестирование, сопровождение нового функционала и прикладного ПО для системы Omega Production, в т.ч. разработка SQL запросов в СУБД Oracle на языке программирования C#; Разработка и написание запросов SQL (преимущественно на СУБД Oracle); Разработка и сопровождение прикладного ПО для SW PDM.
Знания C#, .Net Framework; Понимание принципов объектно-ориентированного программирования; Опыт работы с СУБД MS SQL, Oracle.
",C#/.NET;Front-end разработка;Microsoft SQL Server;Oracle Database;Объектно-ориентированное программирование;Работа в PDM-системах;Тестирование программного обеспечения,1-3,Администратор баз данных,90000
08469291-8469-11ef-8511-25abf1fceba2,Системный администратор (PostgreSQL/Linux/Docker/k&s),"В Центр эксплуатации платёжной системы Департамента информационных технологий ищем коллегу! Специалисты Центра сопровождают важнейшие платёжные сервисы нашей страны: Систему быстрых платежей, Платформу Цифрового рубля, Системы передачи финансовых сообщений. Вакансия открыта в Управлении системотехнического обеспечения. Работая инженером в команде профессионалов и единомышленников, Вы будете обеспечивать работу мощных кластеров высоконагруженных сервисов и систем, познакомитесь с Enterprise-решениями и интересным стеком продуктов, в первую очередь операционными системами и базами данных. Также, Вы будете работать с контейнерами и их оркестраторами, помогать нам обеспечивать непрерывную работу наших pipeline-ов. Богатые внутренние компетенции наших специалистов позволят Вам в максимально сжатые сроки освоиться в нашем дружном коллективе и начать самостоятельно решать важные стратегические задачи подразделения. Задачи:  установка операционных систем, обновлений, анализ производительности работы ОС; установка обновлений, новых версий программного обеспечения СУБД PostreSQL (СУБД Oracle), а также инструментальных средств и приложений, резервное копирование и восстановление; работа с контейнерами и оркестраторами контейнеров; участие в проведении нагрузочных испытаний автоматизированных систем, выполнение работ по повышению производительности СУБД и приложений; установка, сопровождение и развитие средств мониторинга и управления операционными системами и базами данных, мониторинг работы баз данных.  Наши ожидания от кандидатов:  опыт администрирование ОС семейства Linux (установка операционной системы, обновлений, вопросы производительности); опыт работы с СУБД PostreSQL (СУБД Oracle); знание основ построения сетей передачи и хранения данных; приветствуется знание docker, kubernetes (k8s), ansible, salt - если нет, научим!  Будет плюсом:  администрирование сред виртуализации VMware; сопровождение IBM WebSphere Application Server; организация конфигураций высокой доступности и катастрофоустойчивости СУБД Oracle - Oracle Real ApplicationClusters, Oracle Data Guard; оптимизация SQL запросов и экземпляра СУБД Oracle, сопровождение СУБД других вендоров: PostgreSQL,MS SQL Server; использование семейства программных продуктов IBM Tivoli Spectrum Protect, HP Data Protector для резервного копирования и восстановления.  Мы предлагаем:   получение действительно уникального опыта в мегарегуляторе;   возможности для профессионального развития и развитую ИТ культуру: наставничество, обучение в Университете Банка России, профессиональные клубы, конференции, сильная команда руководителей и коллег;   работу с современным стеком технологий;   стабильность при постоянном развитии;   широкий социальный пакет (дополнительные дни к отпуску, возможности для отдыха по льготным ценам, свой многопрофильный медицинский центр, корпоративные скидки на спорт и активная спортивная жизнь внутри Банка России, пенсионная программа и многое другое);  сменный или скользящий график работы в офисе, м.Сходненская (шаговая доступность). 
","DevOps;Docker;Java/Kotlin/Scala;Kubernetes;Microsoft SQL Server;Oracle Database;PostgreSQL;Администрирование серверов и рабочих станций;Базовая работа с Linux;Виртуализация, облачная инфраструктура;Проведение испытаний образцов;Работа с автоматизированными системами управления;Работа с базами данных;Резервное копирование;Системы управления конфигурацией;Хранение и обработка данных",0,Администратор баз данных,0
107611793,Администратор БД (SQL) / Консультант,"АО ЗАСЛОН - научно-технический центр, который занимается разработкой и производством различных высокотехнологичных устройств. Мы делаем упор на результативность нашей работы, любим сложные проекты, высокоинтеллектуальные разработки, онлайн-сервисы и автоматизацию.  Сотрудники — главная ценность компании. У нас богатая история и некоторые специалисты с нами с самого начала. Сотрудники могут гибко строить свою карьеру: реализовывать проекты, расти горизонтально и становиться крупными начальниками, потому что у нас нет насиженных мест. Мы будем рады видеть в своем составе коллегу на позиции: - Администратор СУБД / Консультант Обязанности:  Мониторинг и анализ выполняемых запросов в БД; Выявление причин, предшествующих ошибкам, медленной и нестабильной работы системы; Анализ влияния доработок в БД на внедряемые бизнес процессы, общую работу и стабильность системы; Оптимизация работы БД совместно с отделом информационных технологий (резервирование, отказоустойчивость); Аудит и участие с системным аналитиком в постановке задач разработчикам ПО, оптимизации решений и влияние на работоспособность; Обновление тестовых баз данных и передача методики обновления продуктовой БД; Отладка, разработка скриптов прикладного характера под СУБД MS SQL Server (SWE PDM) и Oracle (Omega Production); Дальнейшее участие в проекте по миграции БД в PostgreSQL: отладка, тестирование, мониторинг.  Требования:   Работа с любой СУБД и администрирование БД более 3 лет;   Работа с любым менеджером и инструментами администрирования SQL;   Разработка скриптов на любом диалекте SQL;   Будет плюсом: понимание разработки ПО (CI/CD) и опыт участия в разработке ПО.   Условия:  Стабильная работа на предприятии оборонно-промышленного комплекса с богатой историей; Официальное оформление, предоставление льгот и гарантий в полном соответствии с ТК РФ; Конкурентный и постоянный уровень дохода, оплачиваем сверхурочную работу; Место работы: станция метро «Московские ворота» (5-7 минут от метро); Скидки на питание в корпоративной столовой; Комфортное рабочее место с техникой, канцелярией и т.д., комната отдыха с кофемашиной и не только; 5-дневная рабочая неделя (пн-пт с 8:00-16:45 / 8:30-17:15 / 9:00-17:45), после испытательного срока возможность установить гибридный график работы. Перспективы вертикального и горизонтального карьерного роста по результатам работы; Возможность брать на себя важные задачи и специализироваться на узконаправленной деятельности.  Мы заботимся о наших сотрудниках:  Оформляем расширенный полис ДМС с перечнем современных клиник по городу; Врач на предприятии, к которому всегда можно обратиться за консультацией и помощью; Предоставляем абонемент в сеть фитнес-клубов по корпоративной цене, или бесплатно по результатам работы; Оказываем материальную и иную помощь в трудных жизненных ситуациях; Обучаем персонал: повышаем квалификацию, способствуем обучению в ВУЗе и профессиональной переподготовке; Возможность устроить детей на летнюю оплачиваемую практику; Предоставляется право на получение отсрочки от призыва на военную службу; Возможность приобрести уникальную брендированную корпоративную одежду.  Развиваем корпоративную культуру:  Вместе празднуем общероссийские праздники и значимые даты Предприятия; У нас есть клуб амбассадоров, в который можно вступить и участвовать в самых разных проектах; Организуем интеллектуальные игры, сплавы на байдарках, прогулки на собственном катере, спортивные соревнования – футбол / волейбол, уличные тренировки с титулованными спортсменами; Изучаем языки вместе с командой на территории предприятия или онлайн, как вам удобнее; Занимаемся благотворительной и волонтерской деятельностью. ",,1-3,Администратор баз данных,100000
ca5133c5-9a29-11ee-9b66-1f3aadc834d0,Главный специалист,"написание сложных запросов, хранимых процедур и функций (SQL); формирование выборок отчетов по данным из БД по запросам; оптимизация и настройка производительности SQL; проверка корректности данных в системах.
высшее образование в сфере информационных технологий; опыт написания SQL-запросов, процедур (Oracle); знание принципов устройства баз данных.
",Oracle Database;SQL,1-3,Администратор баз данных,65000
1ab22482-5e5b-11ec-b40f-bf2cfe8c828d,Программист,"Знание ERP SyteLine, знание финансовых и материальных транзакций системы. Знание конструкторских программ Search  и ImBase и их  API. Знание механизмов индексации и оптимизации запросов БД MSSQL и Oracle. Знание и устранение deadlock БД MSSQL и Oracle. Знание службы MS SQL Server Integration Services. Знание службы MS SQL Server Service Broker. Знание MVC.net.
Высшее техническое образование. Знание ERP SyteLine, знание финансовых и материальных транзакций системы. Знание конструкторских программ Search  и ImBase и их  API. Знание механизмов индексации и оптимизации запросов БД MSSQL и Oracle. Знание и устранение deadlock БД MSSQL и Oracle. Знание службы MS SQL Server Integration Services. Знание службы MS SQL Server Service Broker. Знание MVC.net. Английский язык для чтения технической документации и переписки (желательно).
Доставка на работу, Социальный пакет
",API;C#/.NET;Microsoft SQL Server;Знание английского языка;Работа с ERP-системами,1-3,Администратор баз данных,50385
114407425,Разработчик MS SQL,"Компания TАКСКОМ — Мы предлагаем широкий спектр IT-сервисов для B2B и B2G посредством создания удобной и надёжной электронной среды для обработки, хранения и предоставления цифровых данных. ООО «Такском» включен в Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий Минцифры России. Ваши задачи:  разработка баз данных, хранимых процедур, триггеров работа над производительностью запросов разработка интеграционных решений в виде синхронизаций, пакетов служб SSIS разработка и рефракторинг хранимых процедур, функций и триггеров OLTP сопровождение и модернизация существующих баз данных разработка технической документации консультирование аналитиков  Для нас важно:  Опыт работы с СУБД MS SQL Server 2012 – 2016, Reporting Services Опыт работы с T-SQL Оптимизация БД (запросы, индексы, статистика и т.п.) Трассировка с помощью SQL Server Profiler, работа с логами. Настройка почтовой рассылки через компонент Database Mail Опыт работы с большими объёмами данных от 500 ГБ Опыт проектирования БД (нормализация БД, построение хранилищ данных, OLAP)  Желательно:  Опыт администрирования серверов баз данных от Microsoft SQL Server 2012 и выше, Reporting Services 2012. Опыт разработки под .NET C# Опыт использования средств криптографии (КриптоПро).  Мы предлагаем:  Гибридный \ удаленный формат после испытательного срока   100% белую рыночную зарплату в зависимости от ваших технических знаний и навыков   Всё по трудовому кодексу. Плюс несколько дней выходных без бюрократических проволочек   ДМС со стоматологией (с первого рабочего дня) Комфортные условия работы Офис рядом с м. Калужская  Мы будем рады видеть Вас в нашей команде!</p>",C#/.NET;Microsoft SQL Server;Transact-SQL;Администрирование серверов и рабочих станций;Информационная грамотность;Консультирование и ведение клиентов;Криптография;КриптоПро;Обработка транзакций;Онлайн-аналитическая обработка (OLAP);Проектирование баз данных;Разработка технической документации;Статистическая обработка данных,3-6,Администратор баз данных,0
111368539,Администратор баз данных,"Обязанности:  Администрирование СУБД и корпоративных информационных систем; Мониторинг и оптимизация работы баз данных; Анализ и настройка производительности баз данных; Резервное копирование и восстановление баз данных; Управление репликацией данных, контроль целостности; Техническая поддержка пользователей.  Требования:  Высшее профессиональное техническое образование; Базовые знания и навыки администрирования ОС семейства Windows; Установка, настройка, администрирование Oracle, MS SQL Server, PostgreSQL; Уверенное знание SQL, PL/SQL. Навыки оптимизации SQL запросов.  Условия:  С успешным кандидатом оформляются трудовые правоотношения согласно ТК РФ; Гибкая система мотивации (премирования) при условии выполнения установленных показателей, годовой бонус; Полный социальный пакет, ДМС со стоматологией, мобильная связь, санаторно-курортное лечение; Премии к профессиональным праздникам; Возможен удаленный режим работы; Работа в крупной ИТ Компании; Возможность профессионального и карьерного роста, амбициозные задачи; Коллектив профессионалов, нацеленных на достижение результатов. ",Microsoft SQL Server;Oracle Database;PostgreSQL;Работа с базами данных;Резервное копирование;Сетевой мониторинг и логирование;Управление данными,1-3,Администратор баз данных,0
117330342,Программист - аналитик данных,"Мы ищем аналитика данных или SQL-разработчика, который будет заниматься написанием и оптимизацией запросов в базах данных ClickHouse и PostgreSQL. Если ты любишь работать с большими объемами данных, умеешь находить эффективные решения и хочешь участвовать в интересных проектах, то эта вакансия для тебя! Обязанности:  Написание и оптимизация SQL-запросов в ClickHouse и PostgreSQL Работа с большими объемами данных, включая их трансформацию и агрегацию Поиск и устранение узких мест в производительности запросов Документирование процессов и результатов работы  Требования:  Опыт работы с ClickHouse и PostgreSQL Понимание принципов работы СУБД, оптимизации запросов Опыт работы с инструментами для визуализации данных (например, Apache Superset) будет плюсом Умение работать в команде и самостоятельно Внимательность к деталям и аналитический склад ума ",Apache Superset;ClickHouse;PostgreSQL;Визуализация данных;Информационная грамотность;Работа в команде;Работа с базами данных;Умение принимать решения,3-6,Администратор баз данных,85000
108153026,Разработчик по автоматизации (Эксперт PostgreSQL),"Обязанности:  Разработка модуля Операций Второго дня для основного сервиса Команды; Ведение документации; Формирование и ведение Дорожной Карты , включая контроль выполнения задач; Коммуникация с заказчиками, в части формирования ТЗ к разрабатываемому модулю.  Требования:  Опыт администрирования Postgresql(Patroni,etcd) от 5 лет, опыт эксплуатации больших (1TB+) высоконагруженных баз данных PostgreSQL, работающих 24х7; OC Linux на уровне администратора в типовых задачах (AstraLinux); Знание PL/pgSQL; Понимание индексов, заимствованных ключей, триггеров и схемы в целом. - Опыт с Python, Linux/bash; Опыт проектирования структуры БД, оптимизация БД и структура запросов; Понимание архитектуры бэкенда и фронтенда приложений. Опыт работы с Docker, Git, Gitlab CI, написание Ansible-playbook’ов будет преимуществом. ",,3-6,Администратор баз данных,0
107293073,Разработчик БД (PostgreSQL),"Про нас: Мы – ООО Парадокс, входим в группу компаний «КОНСОМ ГРУПП». Мы занимаемся созданием информационных систем для промышленных предприятий. Наши основные направления – металлургия и горно-добывающая промышленность. Среди наших заказчиков крупные промышленные предприятия России и СНГ. В нашей команде более 50 специалистов. Это разработчики и аналитики.    Что нужно делать:  Участвовать в разработке и сопровождении серверной части приложений, API; Участвовать в разработка и сопровождении клиентской части приложений; Выполнять работы по интеграции с различными сторонними информационными системами.  От Вас ожидаем:  Уверенное знание реляционных БД; Уверенное знание SQL; Опыт работы с PostgreSQL; Знание принципов ООП, MVC; Опыт командной работы, опыт работы с Git, Jira.  Будет полезно:  Опыт проектирования баз данных; Опыт составления и профилирования сложных запросов БД; Навык работы с событийной архитектурой (асинхронная система); Опыт работы с Odatа.  Условия:   Полный рабочий день / частичная занятость;  Гибридный режим работы: удаленно / в офисе; Возможны командировки по России и миру.    Заработная плата по результатам собеседования      ",API;Atlassian Jira;Git;Microsoft Visio;PostgreSQL;Анализ бизнес-процессов;Знание английского языка;Объектно-ориентированное программирование;Проектирование баз данных;Работа в команде;Работа с базами данных;Формирование технических заданий,1-3,Администратор баз данных,0
108442934,"Разработчик MS SQL, ERP и учётные системы / Metazon","В нашей команде одной из самых важных баз Ozon ждём отличного SQL-разработчика, готового окунуться в настоящий enterprise. В этой важной базе таблицы с миллиардами записей, более 3 миллионов транзакций в сутки. Вам предстоит:  Разработка OLTP базы на MS SQL Server (таблицы с &gt;10 миллиардов записей, до 3 миллионов транзакций в сутки, &gt;60Tb общего объёма данных); Участие в реализации сложной бизнес логики на уровне базы данных; Написание высокопроизводительного T-SQL кода; Поддержка реализованных решений.  Мы ожидаем:  Опыт разработки и поддержки систем автоматизации деятельности предприятия с использованием MS SQL Server от 3 лет; Глубокое знание принципов работы SQL Server; Умение разбираться в чужом коде; Опыт участия в разработке архитектуры, модели данных и т.д.; Опыт разработки технической документации; Английский язык, достаточный для чтения технической документации; Исполнительность, ответственность, целеустремлённость, инициативность, аналитический склад ума, способность к быстрому освоению новых знаний, умение работать в коллективе.  Будет плюсом:  Опыт использования SSRS, SSIS; Опыт разработки на одном из языков ООП .NET, Go, Delphi.  Мы предлагаем:   Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce;   Свободу действий в принятии решений;   Достойный уровень заработной платы;   Профессиональную команду, которой мы гордимся;   Возможность развиваться вместе с нашим бизнесом.  ",C#/.NET;Code review;Golang;Microsoft SQL Server;Pascal/Delphi;Transact-SQL;Знание английского языка;Инициативность;Обработка транзакций;Объектно-ориентированное программирование;Работа в команде;Работа с ERP-системами;Разработка технической документации;Целеустремленность,3-6,Администратор баз данных,0
6c4dd960-f64d-11ee-b4ac-d549be31d974,Администратор баз данных,"Осуществление мониторинга работы БД. Проведение анализа полученных статистических данных, формирование выводов об эффективности работы БД. Управление вычислительными ресурсами, взаимодействующими с БД. Определение критериев оптимизации производительности БД. Осуществление оптимизации компонентов вычислительной сети, взаимодействующих с БД, контроль произошедших изменений в работе БД. Контроль за соблюдением стратегии управления распределением данных в памяти, предназначенной для размещения БД.
Высшее образование бакалавриат, освоившее дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки, имеющее стаж работы на должности младшего администратора БД (или на аналогичных должностях) в течение двух лет. Коммуникабельность, дисциплинированность, ответственность.
",Анализ данных;Работа с базами данных;Статистическая обработка данных;Управление данными,1-3,Администратор баз данных,48300
5ab15865-ba86-11ee-9c7c-e7d0d2cf29b1,Инженер по информационным базам данных и сопровождения производственных систем автоматизации,"участие во внедрении специализированного программного обеспечения; администрирование БД MS SQL или Postgres; создание текстовых отчетов и запросов на SQL; обработка заявок и консультирование пользователей.
высшее образование; навыки работы с серверным и офисным программным обеспечением; базовые знания языков программирования с навыками написания скриптов управления и обработки текста.
",Microsoft SQL Server;PostgreSQL;Консультирование и ведение клиентов;Обработка заявок,0,Администратор баз данных,50000
106691138,Специалист сопровождения собственного ПО," Удаленная работа для кандидатов из любого региона. Рабочие часы с 09:00 до 18:00, время московское.  Дружному коллективу единомышленников в области разработки полезного программного обеспечения для Ж/Д-перевозок требуется пополнение в лице Специалиста в отдел технической поддержки и системного администрирования.   Рассматриваем кандидатов соответствующих требованиям:  Опыт работы в службе поддержки пользователей; Знание SQL - построение SQL-запросов на выборку данных (все виды join, подзапросы, группировки). На интервью проводится тестирование уровня знаний; Опыт работы с БД Oracle \ PostgreSQL (понимание назначения и опыт взаимодействия с основными объектами БД: вызов процедур, функций, настройка джобов, триггеров и т.д.)    Задачи:   Техническое сопровождение программного обеспечения;- сбор новых версий продукта- обновление ПО у клиентов- взаимодействие с программистами по улучшению продукта и исправлению ошибок.- Настройка комплекса   Прием обращений пользователей     Будет плюсом:  Опыт работы с API Написание скриптов Навыки деловой переписки Тестирование и внедрение ПО Администрирование БД Базовые знания PL/SQL.    В свою очередь компания не останется в долгу и готова предложить:  Высокую, стабильную зарплату (условия обсудим на собеседовании) ДМС (после прохождения испытательного срока) Возможность карьерного роста (внедрение \ аналитик) Дружный и отзывчивый коллектив.    Если у вас есть вопросы – у нас есть ответы! Пишите, ждем Ваше резюме</p>",API;DevOps;Oracle Database;PostgreSQL;Взаимодействие с клиентами и заказчиками;Коммуникативная грамотность;Работа с базами данных;Тестирование программного обеспечения,1-3,Администратор баз данных,100000
106692858,Администратор баз данных PostgreSQL,"Целью проекта является разработка и развитие собственной версии СУБД, основанной на базе open-source PostgreSQL, с учетом особых требований по быстродействию, надежности, отказоустойчивости и кибербезопасности выдвигаемых Сбербанком. Наше решение является целевой СУБД Сбера и, в настоящий момент, эксплуатируется в более чем 25 000 активных инсталляциях.Обязанности  работа на 3-й линии вендорской поддержки СУБД консультация клиентов по вопросам СУБД поиск корневых причин инцидентов и дефектов низкоуровневый анализ логов участие в развитии СУБД (по желанию возможно погружение в разработку и тестирование нового функционала) администрирование, обновление и сопровождение СУБД анализ производительности работы СУБД, выявление проблем и оптимизация взаимодействие с разработчиками СУБД разработка и ведение технической документации. Требования  высшее образование в ИТ направлении уверенное знание архитектуры PostgreSQL опыт администрирования PostgreSQL (установка, настройка, резервное копирование и т.д.) понимание принципов построения отказоустойчивых СУБД на базе технологий Patroni, etcd, haproxy понимание принципов работы и области применения pgbouncer опыт решения проблем производительности PostgreSQL для бизнес критичных систем знание и опыт написания запросов на PL/pgSQL, bash скриптов знание linux достаточное для выполнения задач по администрированию СУБД знание английского языка, необходимого для чтения специализированной литературы и технической документации.  Круто если вы так же:  имеете опыт работы с Oracle или MS SQL обладаете опытом в настройке, поддержке высоконагруженного отказоустойчивого кластера и построения распределенных кластеров БД. Условия  работа в офисе по адресу г. Хабаровск ул. Краснореченская, 111В. График 5/2 (возможен смешанный график) официальное оформление с первого дня стабильный оклад и социальная поддержка сотрудников расширенный ДМС с первого дня работы для сотрудников и льготная медицинская страховка для близких бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров корпоративная пенсионная программа корпоративное обучение за счет компании реферальная программа для сотрудников: можно пригласить в команду знакомых профессионалов и получить вознаграждение корпоративный спортзал мощное железо, дополнительные мониторы и всё, что нужно для продуктивной работы. ",HAProxy;Microsoft SQL Server;Oracle Database;PostgreSQL;Базовая работа с Linux;Знание английского языка;Разработка технической документации;Резервное копирование,1-3,Администратор баз данных,0
