ID вакансии,Название вакансии,Описание вакансии,Ключевые навыки,Название специальности,Заработная плата,Опыт работы
108396531,Редактор (со знанием английского языка),"Сегодня нейросети могут решать почти любые задачи. Это стало возможным в том числе благодаря AI-тренерам, которые разрабатывают эталонные тексты для обучения, а потом оценивают ответы нейросети и помогают ей совершенствоваться. Мы приглашаем вас попробовать себя в этой роли. Вам предстоит обучать модель переводить тексты и готовить ответы на запросы пользователей. Какие задачи вас ждут:  переводить тексты; оценивать, редактировать тексты других авторов и создавать свои на английском языке; много работать с современными англоязычными и русскоязычными текстами, а со временем — с фото и видео; создавать датасеты для тестирования систем машинного перевода; быстро вникать в незнакомую информацию.  Мы ждём, что вы:  знаете английский язык на уровне не ниже С1; работали с письменными переводами. Опыт работы с художественным переводом, переводом медицинских текстов и технической документации будет преимуществом; получили высшее профильное образование (лингвистика, переводоведение); не боитесь меняющихся ТЗ и рутинных задач; хотите постоянно изучать новое и развивать технологии для миллионов людей.  Что мы предлагаем:  официальное трудоустройство с возможностью выбрать полную или частичную занятость; удалённую работу и гибкий график (главное — уделять задачам от 20 часов в неделю); доход от 41 тысячи рублей в месяц (в среднем при частичной занятости заработок редактора составляет 55 тысяч рублей в месяц с учётом НДФЛ); возможности роста и развития; оплачиваемое онлайн-обучение перед стартом; оплату больничных и отпусков; онлайн-консультации врачей и страхование от несчастных случаев (подключается через 3 месяца работы); компенсацию затрат на электричество и интернет; скидки от партнёров и на продукты Яндекса; дружную и активную команду, которая всегда поможет и подбодрит мемами в чате. ",Знание английского языка;Письменный перевод;Тестирование программного обеспечения;Фотосъемка,UX-редактор,41000,1-3
108396569,Редактор (со знанием английского языка),"Сегодня нейросети могут решать почти любые задачи. Это стало возможным в том числе благодаря AI-тренерам, которые разрабатывают эталонные тексты для обучения, а потом оценивают ответы нейросети и помогают ей совершенствоваться. Мы приглашаем вас попробовать себя в этой роли. Вам предстоит обучать модель переводить тексты и готовить ответы на запросы пользователей. Какие задачи вас ждут:  переводить тексты; оценивать, редактировать тексты других авторов и создавать свои на английском языке; много работать с современными англоязычными и русскоязычными текстами, а со временем — с фото и видео; создавать датасеты для тестирования систем машинного перевода; быстро вникать в незнакомую информацию.  Мы ждём, что вы:  знаете английский язык на уровне не ниже С1; работали с письменными переводами. Опыт работы с художественным переводом, переводом медицинских текстов и технической документации будет преимуществом; получили высшее профильное образование (лингвистика, переводоведение); не боитесь меняющихся ТЗ и рутинных задач; хотите постоянно изучать новое и развивать технологии для миллионов людей.  Что мы предлагаем:  официальное трудоустройство с возможностью выбрать полную или частичную занятость; удалённую работу и гибкий график (главное — уделять задачам от 20 часов в неделю); доход от 41 тысячи рублей в месяц (в среднем при частичной занятости заработок редактора составляет 55 тысяч рублей в месяц с учётом НДФЛ); возможности роста и развития; оплачиваемое онлайн-обучение перед стартом; оплату больничных и отпусков; онлайн-консультации врачей и страхование от несчастных случаев (подключается через 3 месяца работы); компенсацию затрат на электричество и интернет; скидки от партнёров и на продукты Яндекса; дружную и активную команду, которая всегда поможет и подбодрит мемами в чате. ",Знание английского языка;Письменный перевод;Тестирование программного обеспечения;Фотосъемка,UX-редактор,41000,1-3
108396553,Редактор (со знанием английского языка),"Сегодня нейросети могут решать почти любые задачи. Это стало возможным в том числе благодаря AI-тренерам, которые разрабатывают эталонные тексты для обучения, а потом оценивают ответы нейросети и помогают ей совершенствоваться. Мы приглашаем вас попробовать себя в этой роли. Вам предстоит обучать модель переводить тексты и готовить ответы на запросы пользователей. Какие задачи вас ждут:  переводить тексты; оценивать, редактировать тексты других авторов и создавать свои на английском языке; много работать с современными англоязычными и русскоязычными текстами, а со временем — с фото и видео; создавать датасеты для тестирования систем машинного перевода; быстро вникать в незнакомую информацию.  Мы ждём, что вы:  знаете английский язык на уровне не ниже С1; работали с письменными переводами. Опыт работы с художественным переводом, переводом медицинских текстов и технической документации будет преимуществом; получили высшее профильное образование (лингвистика, переводоведение); не боитесь меняющихся ТЗ и рутинных задач; хотите постоянно изучать новое и развивать технологии для миллионов людей.  Что мы предлагаем:  официальное трудоустройство с возможностью выбрать полную или частичную занятость; удалённую работу и гибкий график (главное — уделять задачам от 20 часов в неделю); доход от 41 тысячи рублей в месяц (в среднем при частичной занятости заработок редактора составляет 55 тысяч рублей в месяц с учётом НДФЛ); возможности роста и развития; оплачиваемое онлайн-обучение перед стартом; оплату больничных и отпусков; онлайн-консультации врачей и страхование от несчастных случаев (подключается через 3 месяца работы); компенсацию затрат на электричество и интернет; скидки от партнёров и на продукты Яндекса; дружную и активную команду, которая всегда поможет и подбодрит мемами в чате. ",Знание английского языка;Письменный перевод;Тестирование программного обеспечения;Фотосъемка,UX-редактор,41000,1-3
108396535,Редактор (со знанием английского языка),"Сегодня нейросети могут решать почти любые задачи. Это стало возможным в том числе благодаря AI-тренерам, которые разрабатывают эталонные тексты для обучения, а потом оценивают ответы нейросети и помогают ей совершенствоваться. Мы приглашаем вас попробовать себя в этой роли. Вам предстоит обучать модель переводить тексты и готовить ответы на запросы пользователей. Какие задачи вас ждут:  переводить тексты; оценивать, редактировать тексты других авторов и создавать свои на английском языке; много работать с современными англоязычными и русскоязычными текстами, а со временем — с фото и видео; создавать датасеты для тестирования систем машинного перевода; быстро вникать в незнакомую информацию.  Мы ждём, что вы:  знаете английский язык на уровне не ниже С1; работали с письменными переводами. Опыт работы с художественным переводом, переводом медицинских текстов и технической документации будет преимуществом; получили высшее профильное образование (лингвистика, переводоведение); не боитесь меняющихся ТЗ и рутинных задач; хотите постоянно изучать новое и развивать технологии для миллионов людей.  Что мы предлагаем:  официальное трудоустройство с возможностью выбрать полную или частичную занятость; удалённую работу и гибкий график (главное — уделять задачам от 20 часов в неделю); доход от 41 тысячи рублей в месяц (в среднем при частичной занятости заработок редактора составляет 55 тысяч рублей в месяц с учётом НДФЛ); возможности роста и развития; оплачиваемое онлайн-обучение перед стартом; оплату больничных и отпусков; онлайн-консультации врачей и страхование от несчастных случаев (подключается через 3 месяца работы); компенсацию затрат на электричество и интернет; скидки от партнёров и на продукты Яндекса; дружную и активную команду, которая всегда поможет и подбодрит мемами в чате. ",Знание английского языка;Письменный перевод;Тестирование программного обеспечения;Фотосъемка,UX-редактор,41000,1-3
108396526,Редактор (со знанием английского языка),"Сегодня нейросети могут решать почти любые задачи. Это стало возможным в том числе благодаря AI-тренерам, которые разрабатывают эталонные тексты для обучения, а потом оценивают ответы нейросети и помогают ей совершенствоваться. Мы приглашаем вас попробовать себя в этой роли. Вам предстоит обучать модель переводить тексты и готовить ответы на запросы пользователей. Какие задачи вас ждут:  переводить тексты; оценивать, редактировать тексты других авторов и создавать свои на английском языке; много работать с современными англоязычными и русскоязычными текстами, а со временем — с фото и видео; создавать датасеты для тестирования систем машинного перевода; быстро вникать в незнакомую информацию.  Мы ждём, что вы:  знаете английский язык на уровне не ниже С1; работали с письменными переводами. Опыт работы с художественным переводом, переводом медицинских текстов и технической документации будет преимуществом; получили высшее профильное образование (лингвистика, переводоведение); не боитесь меняющихся ТЗ и рутинных задач; хотите постоянно изучать новое и развивать технологии для миллионов людей.  Что мы предлагаем:  официальное трудоустройство с возможностью выбрать полную или частичную занятость; удалённую работу и гибкий график (главное — уделять задачам от 20 часов в неделю); доход от 41 тысячи рублей в месяц (в среднем при частичной занятости заработок редактора составляет 55 тысяч рублей в месяц с учётом НДФЛ); возможности роста и развития; оплачиваемое онлайн-обучение перед стартом; оплату больничных и отпусков; онлайн-консультации врачей и страхование от несчастных случаев (подключается через 3 месяца работы); компенсацию затрат на электричество и интернет; скидки от партнёров и на продукты Яндекса; дружную и активную команду, которая всегда поможет и подбодрит мемами в чате. ",Знание английского языка;Письменный перевод;Тестирование программного обеспечения;Фотосъемка,UX-редактор,41000,1-3
108396534,Редактор (со знанием английского языка),"Сегодня нейросети могут решать почти любые задачи. Это стало возможным в том числе благодаря AI-тренерам, которые разрабатывают эталонные тексты для обучения, а потом оценивают ответы нейросети и помогают ей совершенствоваться. Мы приглашаем вас попробовать себя в этой роли. Вам предстоит обучать модель переводить тексты и готовить ответы на запросы пользователей. Какие задачи вас ждут:  переводить тексты; оценивать, редактировать тексты других авторов и создавать свои на английском языке; много работать с современными англоязычными и русскоязычными текстами, а со временем — с фото и видео; создавать датасеты для тестирования систем машинного перевода; быстро вникать в незнакомую информацию.  Мы ждём, что вы:  знаете английский язык на уровне не ниже С1; работали с письменными переводами. Опыт работы с художественным переводом, переводом медицинских текстов и технической документации будет преимуществом; получили высшее профильное образование (лингвистика, переводоведение); не боитесь меняющихся ТЗ и рутинных задач; хотите постоянно изучать новое и развивать технологии для миллионов людей.  Что мы предлагаем:  официальное трудоустройство с возможностью выбрать полную или частичную занятость; удалённую работу и гибкий график (главное — уделять задачам от 20 часов в неделю); доход от 41 тысячи рублей в месяц (в среднем при частичной занятости заработок редактора составляет 55 тысяч рублей в месяц с учётом НДФЛ); возможности роста и развития; оплачиваемое онлайн-обучение перед стартом; оплату больничных и отпусков; онлайн-консультации врачей и страхование от несчастных случаев (подключается через 3 месяца работы); компенсацию затрат на электричество и интернет; скидки от партнёров и на продукты Яндекса; дружную и активную команду, которая всегда поможет и подбодрит мемами в чате. ",Знание английского языка;Письменный перевод;Тестирование программного обеспечения;Фотосъемка,UX-редактор,41000,1-3
108396602,Редактор (со знанием английского языка),"Сегодня нейросети могут решать почти любые задачи. Это стало возможным в том числе благодаря AI-тренерам, которые разрабатывают эталонные тексты для обучения, а потом оценивают ответы нейросети и помогают ей совершенствоваться. Мы приглашаем вас попробовать себя в этой роли. Вам предстоит обучать модель переводить тексты и готовить ответы на запросы пользователей. Какие задачи вас ждут:  переводить тексты; оценивать, редактировать тексты других авторов и создавать свои на английском языке; много работать с современными англоязычными и русскоязычными текстами, а со временем — с фото и видео; создавать датасеты для тестирования систем машинного перевода; быстро вникать в незнакомую информацию.  Мы ждём, что вы:  знаете английский язык на уровне не ниже С1; работали с письменными переводами. Опыт работы с художественным переводом, переводом медицинских текстов и технической документации будет преимуществом; получили высшее профильное образование (лингвистика, переводоведение); не боитесь меняющихся ТЗ и рутинных задач; хотите постоянно изучать новое и развивать технологии для миллионов людей.  Что мы предлагаем:  официальное трудоустройство с возможностью выбрать полную или частичную занятость; удалённую работу и гибкий график (главное — уделять задачам от 20 часов в неделю); доход от 41 тысячи рублей в месяц (в среднем при частичной занятости заработок редактора составляет 55 тысяч рублей в месяц с учётом НДФЛ); возможности роста и развития; оплачиваемое онлайн-обучение перед стартом; оплату больничных и отпусков; онлайн-консультации врачей и страхование от несчастных случаев (подключается через 3 месяца работы); компенсацию затрат на электричество и интернет; скидки от партнёров и на продукты Яндекса; дружную и активную команду, которая всегда поможет и подбодрит мемами в чате. ",Знание английского языка;Письменный перевод;Тестирование программного обеспечения;Фотосъемка,UX-редактор,41000,1-3
108396593,Редактор (со знанием английского языка),"Сегодня нейросети могут решать почти любые задачи. Это стало возможным в том числе благодаря AI-тренерам, которые разрабатывают эталонные тексты для обучения, а потом оценивают ответы нейросети и помогают ей совершенствоваться. Мы приглашаем вас попробовать себя в этой роли. Вам предстоит обучать модель переводить тексты и готовить ответы на запросы пользователей. Какие задачи вас ждут:  переводить тексты; оценивать, редактировать тексты других авторов и создавать свои на английском языке; много работать с современными англоязычными и русскоязычными текстами, а со временем — с фото и видео; создавать датасеты для тестирования систем машинного перевода; быстро вникать в незнакомую информацию.  Мы ждём, что вы:  знаете английский язык на уровне не ниже С1; работали с письменными переводами. Опыт работы с художественным переводом, переводом медицинских текстов и технической документации будет преимуществом; получили высшее профильное образование (лингвистика, переводоведение); не боитесь меняющихся ТЗ и рутинных задач; хотите постоянно изучать новое и развивать технологии для миллионов людей.  Что мы предлагаем:  официальное трудоустройство с возможностью выбрать полную или частичную занятость; удалённую работу и гибкий график (главное — уделять задачам от 20 часов в неделю); доход от 41 тысячи рублей в месяц (в среднем при частичной занятости заработок редактора составляет 55 тысяч рублей в месяц с учётом НДФЛ); возможности роста и развития; оплачиваемое онлайн-обучение перед стартом; оплату больничных и отпусков; онлайн-консультации врачей и страхование от несчастных случаев (подключается через 3 месяца работы); компенсацию затрат на электричество и интернет; скидки от партнёров и на продукты Яндекса; дружную и активную команду, которая всегда поможет и подбодрит мемами в чате. ",Знание английского языка;Письменный перевод;Тестирование программного обеспечения;Фотосъемка,UX-редактор,41000,1-3
108396623,Редактор (со знанием английского языка),"Сегодня нейросети могут решать почти любые задачи. Это стало возможным в том числе благодаря AI-тренерам, которые разрабатывают эталонные тексты для обучения, а потом оценивают ответы нейросети и помогают ей совершенствоваться. Мы приглашаем вас попробовать себя в этой роли. Вам предстоит обучать модель переводить тексты и готовить ответы на запросы пользователей. Какие задачи вас ждут:  переводить тексты; оценивать, редактировать тексты других авторов и создавать свои на английском языке; много работать с современными англоязычными и русскоязычными текстами, а со временем — с фото и видео; создавать датасеты для тестирования систем машинного перевода; быстро вникать в незнакомую информацию.  Мы ждём, что вы:  знаете английский язык на уровне не ниже С1; работали с письменными переводами. Опыт работы с художественным переводом, переводом медицинских текстов и технической документации будет преимуществом; получили высшее профильное образование (лингвистика, переводоведение); не боитесь меняющихся ТЗ и рутинных задач; хотите постоянно изучать новое и развивать технологии для миллионов людей.  Что мы предлагаем:  официальное трудоустройство с возможностью выбрать полную или частичную занятость; удалённую работу и гибкий график (главное — уделять задачам от 20 часов в неделю); доход от 41 тысячи рублей в месяц (в среднем при частичной занятости заработок редактора составляет 55 тысяч рублей в месяц с учётом НДФЛ); возможности роста и развития; оплачиваемое онлайн-обучение перед стартом; оплату больничных и отпусков; онлайн-консультации врачей и страхование от несчастных случаев (подключается через 3 месяца работы); компенсацию затрат на электричество и интернет; скидки от партнёров и на продукты Яндекса; дружную и активную команду, которая всегда поможет и подбодрит мемами в чате. ",Знание английского языка;Письменный перевод;Тестирование программного обеспечения;Фотосъемка,UX-редактор,41000,1-3
108396612,Редактор (со знанием английского языка),"Сегодня нейросети могут решать почти любые задачи. Это стало возможным в том числе благодаря AI-тренерам, которые разрабатывают эталонные тексты для обучения, а потом оценивают ответы нейросети и помогают ей совершенствоваться. Мы приглашаем вас попробовать себя в этой роли. Вам предстоит обучать модель переводить тексты и готовить ответы на запросы пользователей. Какие задачи вас ждут:  переводить тексты; оценивать, редактировать тексты других авторов и создавать свои на английском языке; много работать с современными англоязычными и русскоязычными текстами, а со временем — с фото и видео; создавать датасеты для тестирования систем машинного перевода; быстро вникать в незнакомую информацию.  Мы ждём, что вы:  знаете английский язык на уровне не ниже С1; работали с письменными переводами. Опыт работы с художественным переводом, переводом медицинских текстов и технической документации будет преимуществом; получили высшее профильное образование (лингвистика, переводоведение); не боитесь меняющихся ТЗ и рутинных задач; хотите постоянно изучать новое и развивать технологии для миллионов людей.  Что мы предлагаем:  официальное трудоустройство с возможностью выбрать полную или частичную занятость; удалённую работу и гибкий график (главное — уделять задачам от 20 часов в неделю); доход от 41 тысячи рублей в месяц (в среднем при частичной занятости заработок редактора составляет 55 тысяч рублей в месяц с учётом НДФЛ); возможности роста и развития; оплачиваемое онлайн-обучение перед стартом; оплату больничных и отпусков; онлайн-консультации врачей и страхование от несчастных случаев (подключается через 3 месяца работы); компенсацию затрат на электричество и интернет; скидки от партнёров и на продукты Яндекса; дружную и активную команду, которая всегда поможет и подбодрит мемами в чате. ",Знание английского языка;Письменный перевод;Тестирование программного обеспечения;Фотосъемка,UX-редактор,41000,1-3
108396628,Редактор (со знанием английского языка),"Сегодня нейросети могут решать почти любые задачи. Это стало возможным в том числе благодаря AI-тренерам, которые разрабатывают эталонные тексты для обучения, а потом оценивают ответы нейросети и помогают ей совершенствоваться. Мы приглашаем вас попробовать себя в этой роли. Вам предстоит обучать модель переводить тексты и готовить ответы на запросы пользователей. Какие задачи вас ждут:  переводить тексты; оценивать, редактировать тексты других авторов и создавать свои на английском языке; много работать с современными англоязычными и русскоязычными текстами, а со временем — с фото и видео; создавать датасеты для тестирования систем машинного перевода; быстро вникать в незнакомую информацию.  Мы ждём, что вы:  знаете английский язык на уровне не ниже С1; работали с письменными переводами. Опыт работы с художественным переводом, переводом медицинских текстов и технической документации будет преимуществом; получили высшее профильное образование (лингвистика, переводоведение); не боитесь меняющихся ТЗ и рутинных задач; хотите постоянно изучать новое и развивать технологии для миллионов людей.  Что мы предлагаем:  официальное трудоустройство с возможностью выбрать полную или частичную занятость; удалённую работу и гибкий график (главное — уделять задачам от 20 часов в неделю); доход от 41 тысячи рублей в месяц (в среднем при частичной занятости заработок редактора составляет 55 тысяч рублей в месяц с учётом НДФЛ); возможности роста и развития; оплачиваемое онлайн-обучение перед стартом; оплату больничных и отпусков; онлайн-консультации врачей и страхование от несчастных случаев (подключается через 3 месяца работы); компенсацию затрат на электричество и интернет; скидки от партнёров и на продукты Яндекса; дружную и активную команду, которая всегда поможет и подбодрит мемами в чате. ",Знание английского языка;Письменный перевод;Тестирование программного обеспечения;Фотосъемка,UX-редактор,41000,1-3
108396603,Редактор (со знанием английского языка),"Сегодня нейросети могут решать почти любые задачи. Это стало возможным в том числе благодаря AI-тренерам, которые разрабатывают эталонные тексты для обучения, а потом оценивают ответы нейросети и помогают ей совершенствоваться. Мы приглашаем вас попробовать себя в этой роли. Вам предстоит обучать модель переводить тексты и готовить ответы на запросы пользователей. Какие задачи вас ждут:  переводить тексты; оценивать, редактировать тексты других авторов и создавать свои на английском языке; много работать с современными англоязычными и русскоязычными текстами, а со временем — с фото и видео; создавать датасеты для тестирования систем машинного перевода; быстро вникать в незнакомую информацию.  Мы ждём, что вы:  знаете английский язык на уровне не ниже С1; работали с письменными переводами. Опыт работы с художественным переводом, переводом медицинских текстов и технической документации будет преимуществом; получили высшее профильное образование (лингвистика, переводоведение); не боитесь меняющихся ТЗ и рутинных задач; хотите постоянно изучать новое и развивать технологии для миллионов людей.  Что мы предлагаем:  официальное трудоустройство с возможностью выбрать полную или частичную занятость; удалённую работу и гибкий график (главное — уделять задачам от 20 часов в неделю); доход от 41 тысячи рублей в месяц (в среднем при частичной занятости заработок редактора составляет 55 тысяч рублей в месяц с учётом НДФЛ); возможности роста и развития; оплачиваемое онлайн-обучение перед стартом; оплату больничных и отпусков; онлайн-консультации врачей и страхование от несчастных случаев (подключается через 3 месяца работы); компенсацию затрат на электричество и интернет; скидки от партнёров и на продукты Яндекса; дружную и активную команду, которая всегда поможет и подбодрит мемами в чате. ",Знание английского языка;Письменный перевод;Тестирование программного обеспечения;Фотосъемка,UX-редактор,41000,1-3
108396621,Редактор (со знанием английского языка),"Сегодня нейросети могут решать почти любые задачи. Это стало возможным в том числе благодаря AI-тренерам, которые разрабатывают эталонные тексты для обучения, а потом оценивают ответы нейросети и помогают ей совершенствоваться. Мы приглашаем вас попробовать себя в этой роли. Вам предстоит обучать модель переводить тексты и готовить ответы на запросы пользователей. Какие задачи вас ждут:  переводить тексты; оценивать, редактировать тексты других авторов и создавать свои на английском языке; много работать с современными англоязычными и русскоязычными текстами, а со временем — с фото и видео; создавать датасеты для тестирования систем машинного перевода; быстро вникать в незнакомую информацию.  Мы ждём, что вы:  знаете английский язык на уровне не ниже С1; работали с письменными переводами. Опыт работы с художественным переводом, переводом медицинских текстов и технической документации будет преимуществом; получили высшее профильное образование (лингвистика, переводоведение); не боитесь меняющихся ТЗ и рутинных задач; хотите постоянно изучать новое и развивать технологии для миллионов людей.  Что мы предлагаем:  официальное трудоустройство с возможностью выбрать полную или частичную занятость; удалённую работу и гибкий график (главное — уделять задачам от 20 часов в неделю); доход от 41 тысячи рублей в месяц (в среднем при частичной занятости заработок редактора составляет 55 тысяч рублей в месяц с учётом НДФЛ); возможности роста и развития; оплачиваемое онлайн-обучение перед стартом; оплату больничных и отпусков; онлайн-консультации врачей и страхование от несчастных случаев (подключается через 3 месяца работы); компенсацию затрат на электричество и интернет; скидки от партнёров и на продукты Яндекса; дружную и активную команду, которая всегда поможет и подбодрит мемами в чате. ",Знание английского языка;Письменный перевод;Тестирование программного обеспечения;Фотосъемка,UX-редактор,41000,1-3
